index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,4.14000000001397,4.148627,0.0
1,task-5-1,vm1,0.206302,10.671999999904074,10.875407,0.0
2,task-8-2,vm3,0.2083,12.218999999924563,12.432294,0.0
3,task-2-3,vm3,0.209308,4.375,4.592701,0.0
4,task-10-4,vm4,0.209308,6.296999999904074,6.513278,0.0
5,task-3-5,vm3,0.210297,5.375,5.579805,0.0
10,task-9-10,vm4,0.211304,22.093999999924563,22.306509,0.0
11,task-1-11,vm4,0.211304,25.296999999904074,25.504575,0.0
12,task-7-12,vm4,0.212303,25.07799999997951,25.292505,0.0
13,task-9-13,vm4,0.213305,17.265999999945052,17.471817,0.0
15,task-8-15,vm2,0.213823,13.952999999979511,14.157206,0.0
18,task-6-18,vm2,0.213823,21.561999999918044,21.775516,0.0
19,task-10-19,vm4,0.214831,12.311999999918044,12.516591,0.0
6,task-4-6,vm3,4.15014,10.141000000061467,14.287417,3.9369999999180436
7,task-4-7,vm3,4.592701,11.358999999938533,15.937921,4.375
8,task-7-8,vm3,5.579805,15.530999999959022,21.11714,5.375
14,task-1-14,vm1,10.876426,0.4530000000959262,11.331283,10.671999999904074
17,task-5-17,vm1,11.332284,10.608999999938533,21.942369,11.125
9,task-3-9,vm3,12.432294,9.672000000020489,22.094521,12.218999999924563
16,task-2-16,vm3,14.288421,8.218999999924563,22.508312,14.077999999979511
