index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm3,0.0,4.14000000001397,4.139405,0.0
1,task-5-1,vm2,0.033104,8.922000000020489,8.960729,0.0
2,task-8-2,vm3,0.034129,23.156000000075437,23.194731,0.0
3,task-2-3,vm4,0.035669,0.4530000000959262,0.489246,0.0
4,task-10-4,vm4,0.036182,6.437000000034459,6.476139,0.0
5,task-3-5,vm4,0.040774,8.031000000075437,8.063433,0.0
6,task-4-6,vm4,0.045409,7.454000000027008,7.49635,0.0
7,task-4-7,vm2,0.04643,3.547000000020489,3.592885,0.0
10,task-9-10,vm3,0.047965,12.719000000040978,12.764582,0.0
11,task-1-11,vm1,0.048473,0.5160000000614673,0.563456,0.0
13,task-9-13,vm4,0.049488,12.875,12.9294,0.0
14,task-1-14,vm4,0.050509,12.969000000040978,13.024982,0.0
15,task-8-15,vm4,0.052046,16.78200000000652,16.834922,0.0
17,task-5-17,vm3,0.05256,15.391000000061467,15.439544,0.0
18,task-6-18,vm4,0.062001,24.890999999945052,24.949284,0.0
19,task-10-19,vm4,0.490275,22.718999999924563,23.197252,0.4220000000204891
12,task-7-12,vm1,0.567111,20.82799999997951,21.390206,0.5160000000614673
8,task-7-8,vm2,3.593885,15.922000000020489,19.5174,3.547000000020489
9,task-3-9,vm2,8.960729,12.5,21.461629,8.90700000000652
16,task-2-16,vm2,19.518401,3.672000000020489,23.196243,19.469000000040978
